Make,Model,Year,Price (PKR),Mileage (KM),Fuel Type,Transmission,City,Condition
Suzuki,Wagon R,2007,400000,27790,Petrol,Automatic,Karachi,Used
Suzuki,Cultus,2016,1020012,175363,Diesel,Manual,Rawalpindi,Used
Toyota,Aqua,2000,400000,94194,Petrol,Automatic,Peshawar,Used
Suzuki,Swift,2003,400000,74342,Diesel,Manual,Sialkot,Used
Suzuki,Swift,2002,400000,156349,Petrol,Automatic,Karachi,Used
Kia,Stonic,2002,400000,77869,Petrol,Manual,Islamabad,Used
Toyota,Yaris,2021,1499963,171455,Petrol,Automatic,Islamabad,Used
Toyota,Aqua,2020,2171116,19663,Petrol,Automatic,Peshawar,Used
Toyota,Corolla,2006,2776515,60738,Petrol,Manual,Quetta,Used
Suzuki,Cultus,2007,439712,158245,Petrol,Manual,Peshawar,Used
Suzuki,Cultus,2016,574437,45066,Petrol,Manual,Lahore,Used
Toyota,Hilux,2014,3605357,35029,Petrol,Manual,Peshawar,Used
Suzuki,Swift,2005,400000,51832,Petrol,Automatic,Faisalabad,Used
Daihatsu,Cuore,2019,2862438,146394,Hybrid,Automatic,Peshawar,Used
Honda,Civic,2011,2121802,20184,Petrol,Automatic,Lahore,Used
Kia,Sportage,2024,2027477,177949,Petrol,Automatic,Faisalabad,Used
Honda,N WGN,2013,3251956,86714,Petrol,Manual,Quetta,Used
Nissan,Clipper,2003,417971,10514,Petrol,Automatic,Rawalpindi,Used
Suzuki,Alto,2007,400000,9,Petrol,Manual,Quetta,New
Suzuki,Cultus,2023,1303257,128907,Petrol,Manual,Multan,Used
Suzuki,Alto,2021,1022505,127427,Diesel,Automatic,Lahore,Used
Suzuki,Wagon R,2003,400000,122601,Petrol,Automatic,Faisalabad,Used
Toyota,Corolla,2014,3479901,18261,Petrol,Automatic,Lahore,Used
Audi,A4,2005,6414307,20370,Petrol,Automatic,Multan,Used
Toyota,Vitz,2009,2574241,45579,Petrol,Automatic,Karachi,Used
Honda,N WGN,2001,1128612,158138,Petrol,Automatic,Karachi,Used
Changan,Alsvin,2005,819316,51,Petrol,Automatic,Karachi,New
Honda,Fit,2021,3508308,73358,Petrol,Manual,Rawalpindi,Used
Toyota,Yaris,2021,3233415,24016,Petrol,Automatic,Lahore,Used
Honda,N WGN,2008,2499593,69037,Petrol,Automatic,Quetta,Used
Daihatsu,Cuore,2009,3403163,150385,Petrol,Automatic,Islamabad,Used
Toyota,Corolla,2023,2585381,163552,Petrol,Manual,Rawalpindi,Used
Kia,Stonic,2016,1456290,171273,Petrol,Manual,Karachi,Used
Suzuki,Cultus,2020,657782,149619,Diesel,Automatic,Lahore,Used
Suzuki,Cultus,2017,512701,70,Petrol,Automatic,Karachi,New
Toyota,Corolla,2011,2111454,97714,Diesel,Manual,Islamabad,Used
Audi,A4,2005,9016864,52018,Diesel,Manual,Multan,Used
Hyundai,Elantra,2008,831145,15151,Diesel,Automatic,Rawalpindi,Used
Hyundai,Santro,2011,1814757,11203,Petrol,Manual,Peshawar,Used
Toyota,Corolla,2024,3636602,145565,Petrol,Automatic,Lahore,Used
Daihatsu,Move,2005,2138180,33417,Petrol,Manual,Peshawar,Used
Toyota,Hilux,2003,2975191,71773,Petrol,Manual,Karachi,Used
Honda,N WGN,2021,2123208,118062,Petrol,Manual,Peshawar,Used
Kia,Sportage,2023,3566487,179821,Petrol,Manual,Faisalabad,Used
Honda,City,2013,2619340,166353,Petrol,Manual,Sialkot,Used
Daihatsu,Move,2009,2439892,176627,Petrol,Manual,Quetta,Used
Kia,Sorento,2023,1798462,140122,Petrol,Manual,Lahore,Used
Hyundai,Elantra,2021,2217272,11402,Petrol,Manual,Lahore,Used
Toyota,Hilux,2006,1584140,109766,Petrol,Automatic,Lahore,Used
Hyundai,Elantra,2005,2135581,18164,Petrol,Automatic,Quetta,Used
Suzuki,Swift,2021,1091934,88177,Hybrid,Manual,Sialkot,Used
Toyota,Hilux,2014,2701018,72945,Diesel,Manual,Sialkot,Used
Honda,City,2008,1886670,76228,Petrol,Automatic,Islamabad,Used
Suzuki,Swift,2022,967509,113755,Petrol,Manual,Multan,Used
Suzuki,Swift,2012,1141731,155913,Petrol,Automatic,Peshawar,Used
Toyota,Vitz,2013,2700885,62812,Petrol,Manual,Multan,Used
Honda,Fit,2010,2612979,127523,Hybrid,Automatic,Multan,Used
Honda,Civic,2002,400000,52639,Petrol,Manual,Peshawar,Used
Suzuki,Wagon R,2010,406948,115510,Petrol,Automatic,Quetta,Used
Suzuki,Mehran,2001,400000,175431,Petrol,Automatic,Karachi,Used
BMW,X1,2000,5089138,34986,Petrol,Automatic,Quetta,Used
Kia,Stonic,2005,1192550,86536,Petrol,Automatic,Faisalabad,Used
Honda,Fit,2012,1972323,160214,Petrol,Automatic,Lahore,Used
Kia,Stonic,2021,1725210,15766,Petrol,Manual,Peshawar,Used
Suzuki,Wagon R,2000,502021,118645,Hybrid,Manual,Islamabad,Used
Toyota,Hilux,2020,3423772,126863,Petrol,Manual,Peshawar,Used
